dataset_code;layer_code;current_layer_code;model;scenario;year;version;layer_url
Bio-ORACLE;BO_A1B_2100_salinity;BO_salinity;UKMO-HadCM3;A1B;2100;1;https://bio-oracle.org/data/1.0/BO_A1B_2100_salinity_lonlat.zip
Bio-ORACLE;BO_A1B_2100_sstmax;BO_sstmax;UKMO-HadCM3;A1B;2100;1;https://bio-oracle.org/data/1.0/BO_A1B_2100_sstmax_lonlat.zip
Bio-ORACLE;BO_A1B_2100_sstmean;BO_sstmean;UKMO-HadCM3;A1B;2100;1;https://bio-oracle.org/data/1.0/BO_A1B_2100_sstmean_lonlat.zip
Bio-ORACLE;BO_A1B_2100_sstmin;BO_sstmin;UKMO-HadCM3;A1B;2100;1;https://bio-oracle.org/data/1.0/BO_A1B_2100_sstmin_lonlat.zip
Bio-ORACLE;BO_A1B_2100_sstrange;BO_sstrange;UKMO-HadCM3;A1B;2100;1;https://bio-oracle.org/data/1.0/BO_A1B_2100_sstrange_lonlat.zip
Bio-ORACLE;BO_A1B_2200_salinity;BO_salinity;UKMO-HadCM3;A1B;2200;1;https://bio-oracle.org/data/1.0/BO_A1B_2200_salinity_lonlat.zip
Bio-ORACLE;BO_A1B_2200_sstmax;BO_sstmax;UKMO-HadCM3;A1B;2200;1;https://bio-oracle.org/data/1.0/BO_A1B_2200_sstmax_lonlat.zip
Bio-ORACLE;BO_A1B_2200_sstmean;BO_sstmean;UKMO-HadCM3;A1B;2200;1;https://bio-oracle.org/data/1.0/BO_A1B_2200_sstmean_lonlat.zip
Bio-ORACLE;BO_A1B_2200_sstmin;BO_sstmin;UKMO-HadCM3;A1B;2200;1;https://bio-oracle.org/data/1.0/BO_A1B_2200_sstmin_lonlat.zip
Bio-ORACLE;BO_A1B_2200_sstrange;BO_sstrange;UKMO-HadCM3;A1B;2200;1;https://bio-oracle.org/data/1.0/BO_A1B_2200_sstrange_lonlat.zip
Bio-ORACLE;BO_A2_2100_salinity;BO_salinity;UKMO-HadCM3;A2;2100;1;https://bio-oracle.org/data/1.0/BO_A2_2100_salinity_lonlat.zip
