"dataset_code";"layer_code";"current_layer_code";"model_name";"epoch";"years_ago"
"ENVIREM";"ER_annualPET_holo_ccsm4";"ER_annualPET";"holo_ccsm4";"mid-Holocene";6000
"ENVIREM";"ER_annualPET_holo_miroc_esm";"ER_annualPET";"holo_miroc_esm";"mid-Holocene";6000
"ENVIREM";"ER_annualPET_holo_mpi_esm_p";"ER_annualPET";"holo_mpi_esm_p";"mid-Holocene";6000
"ENVIREM";"ER_annualPET_lgm_ccsm4";"ER_annualPET";"lgm_ccsm4";"Last Glacial Maximum";21000
"ENVIREM";"ER_annualPET_lgm_miroc_esm";"ER_annualPET";"lgm_miroc_esm";"Last Glacial Maximum";21000
"ENVIREM";"ER_annualPET_lgm_mpi_esm_p";"ER_annualPET";"lgm_mpi_esm_p";"Last Glacial Maximum";21000
"ENVIREM";"ER_aridityIndexThornthwaite_holo_ccsm4";"ER_aridityIndexThornthwaite";"holo_ccsm4";"mid-Holocene";6000
"ENVIREM";"ER_aridityIndexThornthwaite_holo_miroc_esm";"ER_aridityIndexThornthwaite";"holo_miroc_esm";"mid-Holocene";6000
"ENVIREM";"ER_aridityIndexThornthwaite_holo_mpi_esm_p";"ER_aridityIndexThornthwaite";"holo_mpi_esm_p";"mid-Holocene";6000
"ENVIREM";"ER_aridityIndexThornthwaite_lgm_ccsm4";"ER_aridityIndexThornthwaite";"lgm_ccsm4";"Last Glacial Maximum";21000
"ENVIREM";"ER_aridityIndexThornthwaite_lgm_miroc_esm";"ER_aridityIndexThornthwaite";"lgm_miroc_esm";"Last Glacial Maximum";21000
"ENVIREM";"ER_aridityIndexThornthwaite_lgm_mpi_esm_p";"ER_aridityIndexThornthwaite";"lgm_mpi_esm_p";"Last Glacial Maximum";21000
"ENVIREM";"ER_climaticMoistureIndex_holo_ccsm4";"ER_climaticMoistureIndex";"holo_ccsm4";"mid-Holocene";6000
"ENVIREM";"ER_climaticMoistureIndex_holo_miroc_esm";"ER_climaticMoistureIndex";"holo_miroc_esm";"mid-Holocene";6000
"ENVIREM";"ER_climaticMoistureIndex_holo_mpi_esm_p";"ER_climaticMoistureIndex";"holo_mpi_esm_p";"mid-Holocene";6000
"ENVIREM";"ER_climaticMoistureIndex_lgm_ccsm4";"ER_climaticMoistureIndex";"lgm_ccsm4";"Last Glacial Maximum";21000
